Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,0.0721703450880188,-0.0711850762110267,0.325437570168997,0,0,0,40.0322700838983,1.12242433869777,0.0135694513781301,-8.52864632798917E-05,0.8604760758101,-0.0229895386625281,0.86890767646624,0,0,0,0,0,0,package://exo_vone/meshes/body.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://exo_vone/meshes/body.STL,,Articulated_Dummy-2/Torso-1;Articulated_Dummy-2/Head-1;Articulated_Dummy-2/UpperArm_L-1;Articulated_Dummy-2/LowerArm_L-1;Articulated_Dummy-2/Hand_L-1/Hand_L-1;Articulated_Dummy-2/Hand_L-1/Fingers_L-1;Articulated_Dummy-2/UpperArm_R-1;Articulated_Dummy-2/LowerArm_R-1;Articulated_Dummy-2/Hand_R-1/Hand_R-1;Articulated_Dummy-2/Hand_R-1/Fingers_R-1;ThighSupp-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
leftthigh,-0.00536778004792505,-0.227132301681399,0.0110924986446574,0,0,0,0.563007071942983,0.0108814890246219,-0.000253684328401118,1.54879514035375E-06,0.000147965154666073,6.18911123078994E-05,0.0109763459714468,0,0,0,0,0,0,package://exo_vone/meshes/leftthigh.STL,0.83921568627451,0.470588235294118,0.368627450980392,1,0,0,0,0,0,0,package://exo_vone/meshes/leftthigh.STL,,ThighLink-1,Origin_leftthighjoint,Axis_leftthighjoint,leftthighjoint,revolute,0.29555,-0.049096,0.03,1.5708,-0.03881,1.5708,body,0,0,-1,0,0,-0.7,0.7,,,,,,,,
leftknee,-0.2050564118263,-0.00956594644923981,-0.0103304354854488,0,0,0,0.6069234730997,0.000220783749580585,-0.000606622090299375,9.7203980224204E-06,0.013711480308962,-1.98267817084477E-06,0.0138505508080809,0,0,0,0,0,0,package://exo_vone/meshes/leftknee.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://exo_vone/meshes/leftknee.STL,,Knee Support-1,Origin_leftkneejoint,Axis_leftkneejoint,leftkneejoint,revolute,-0.012703,-0.5222,0,0,0,1.532,leftthigh,0,0,1,0,0,-0.7,0.7,,,,,,,,
leftshoe,-0.0126541929702663,0.0572351863043321,-0.0889168953577859,0,0,0,0.621318515868409,0.00460577107937433,0.000181415694080681,-8.03394290424055E-07,0.00159077626935315,1.50811120899723E-05,0.00340229565651185,0,0,0,0,0,0,package://exo_vone/meshes/leftshoe.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://exo_vone/meshes/leftshoe.STL,,shoe support-1,Origin_leftshoejoint,Axis_leftshoejoint,leftshoejoint,revolute,-0.46002,-0.021094,-0.024609,0,0,0,leftknee,0,0,1,0,0,-0.7,0.7,,,,,,,,
rightthigh,0.00323520741228955,0.227172685335919,0.0110924986446574,0,0,0,0.563007071942982,0.010885306021714,-0.000152876877290307,-9.67688209881082E-07,0.000144148157573983,-6.19029250409402E-05,0.0109763459714468,0,0,0,0,0,0,package://exo_vone/meshes/rightthigh.STL,0.83921568627451,0.470588235294118,0.368627450980392,1,0,0,0,0,0,0,package://exo_vone/meshes/rightthigh.STL,,ThighLink-2,Origin_rightthighjoint,Axis_rightthighjoint,rightthighjoint,revolute,-0.16345,-0.049096,0.03,-1.5708,0,1.5708,body,0,0,-1,0,0,-0.7,0.7,,,,,,,,
rightknee,-0.205160365094109,0.00699027587207472,-0.0103304354854488,0,0,0,0.6069234730997,0.000210943270211191,0.000484910924019683,9.52900202741494E-06,0.0137213207883314,-2.75957801211138E-06,0.0138505508080809,0,0,0,0,0,0,package://exo_vone/meshes/rightknee.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://exo_vone/meshes/rightknee.STL,,Knee Support-2,Origin_rightkneejoint,Axis_rightkneejoint,rightkneejoint,revolute,0.0077998,0.52229,0,0,0,-1.6064,rightthigh,0,0,1,0,0,-0.7,0.7,,,,,,,,
rightshoe,-0.00978116927535799,-0.0577955352057424,-0.0910831049034314,0,0,0,0.621318516161137,0.00461634771833496,-3.01871483278428E-05,4.95280349416128E-08,0.00158019962449932,1.51024194916695E-05,0.00340229565376732,0,0,0,0,0,0,package://exo_vone/meshes/rightshoe.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://exo_vone/meshes/rightshoe.STL,,shoe support-2,Origin_rightshoejoint,Axis_rightshoejoint,rightshoejoint,revolute,-0.46023,0.016047,-0.025367,0,0,0,rightknee,0,0,-1,0,0,-0.7,0.7,,,,,,,,
frontwheel,-0.000248159145543256,0.0355492834672292,-1.22418508663458E-09,0,0,0,1.26482191163624,0.00788423820434775,3.85182284037093E-11,8.98039607625485E-11,0.00823409874040419,-5.8640240900738E-10,0.0138855471441829,0,0,0,0,0,0,package://exo_vone/meshes/frontwheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://exo_vone/meshes/frontwheel.STL,,WheelAss-1/wheelsup-1;WheelAss-1/wheel-1,Origin_frontwheeljoint,,frontwheeljoint,fixed,0.071552,-0.94232,-0.92813,1.5708,0,0.00060906,body,0,0,0,,,,,,,,,,,,
leftwheel,0.101615564094677,0.0180615166863338,0.0213166592302764,0,0,0,1.26482191163624,0.00788423820434795,-4.36165755186645E-11,8.74416237223078E-11,0.0115238223153073,-0.00278736826540503,0.01059582356928,0,0,0,0,0,0,package://exo_vone/meshes/leftwheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://exo_vone/meshes/leftwheel.STL,,WheelAss-2/wheel-1;WheelAss-2/wheelsup-1,Origin_leftwheeljoint,,leftwheeljoint,fixed,0.89882,0.84046,-0.92188,0.70292,0,3.1416,body,0,0,0,,,,,,,,,,,,
rightwheel,0.101615564094677,0.0180615166863305,0.0213166592302794,0,0,0,1.26482191163623,0.00788423820434783,-4.36163887507567E-11,8.744146301709E-11,0.0115238223153072,-0.00278736826540497,0.0105958235692799,0,0,0,0,0,0,package://exo_vone/meshes/rightwheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://exo_vone/meshes/rightwheel.STL,,WheelAss-3/wheel-1;WheelAss-3/wheelsup-1,Origin_rightwheeljoint,,rightwheeljoint,fixed,-0.85925,0.84046,-0.92188,0.70292,0,0,body,0,0,0,,,,,,,,,,,,
